,id,Label,Weight
0,Banshee / Sean Cassidy,Banshee / Sean Cassidy,5.611513273796193
1,Black Knight V / Dane,Black Knight V / Dane,9.817039081061683
2,Thena,Black Panther / T'chal,2.241638000533292
3,"Carter, Peggy",Black Panther / T'chal,3.2389528757271067
4,Blob / Fred J. Dukes,Black Panther / T'chal,6.676568288092151
5,Feral / Maria Callasan,Black Panther / T'chal,3.2016705613164214
6,Captain Britain / Bria,Black Panther / T'chal,3.6122959949617357
7,Iron Man / Tony Stark,Black Panther / T'chal,15.543092813370693
8,Wong,Black Panther / T'chal,3.139133622371368
9,Shaman / Michael Twoyo,Black Panther / T'chal,5.310728209026144
10,"Wing, Colleen",Black Panther / T'chal,2.343659888439875
11,"Le Fey, Morgan",Black Panther / T'chal,2.1837248389419446
12,Lockheed,Black Panther / T'chal,4.142639383383746
13,Asp Ii / Cleo,Black Panther / T'chal,1.9903464120626617
14,Beyonder,Black Panther / T'chal,2.993312032562493
15,"Ross, Gen. Thaddeus",Black Panther / T'chal,2.4554151700432385
16,Balder [asgardian],Black Panther / T'chal,3.7740707749337035
17,Magneto / Magnus / Eric,Black Panther / T'chal,8.407073084368793
18,Redwing,Black Panther / T'chal,2.825109656376772
19,Collector / Taneleer T,Black Panther / T'chal,2.6000010384385464
20,Skin / Angelo Espinosa,Black Panther / T'chal,1.6820968264094476
21,Zero,Black Panther / T'chal,2.7383420741688487
22,Silver Surfer / Norrin,Black Panther / T'chal,8.385730885011432
23,Gamora,Black Panther / T'chal,4.189766779497126
24,Dr. Doom / Victor Von,Black Panther / T'chal,9.142570266849937
25,Beast / Henry &hank& P,Black Panther / T'chal,14.118186775876184
26,Black Panther / T'chal,Black Panther / T'chal,7.013692464545077
27,Hercules [greek God],Black Panther / T'chal,12.549711763786794
28,Thunderstrike / Eric K,Black Panther / T'chal,7.157019166678345
29,Odin [asgardian],Black Panther / T'chal,4.4324415242613755
30,Beetle / Abner Ronald,Black Panther / T'chal,3.5849713030006813
31,Storm / Ororo Munroe S,Black Panther / T'chal,13.30337317950934
32,Wolverine / Logan,Black Panther / T'chal,15.078802262636623
33,Living Lightning / Mig,Black Panther / T'chal,5.814608356149884
34,Drax / Arthur Douglas,Black Panther / T'chal,5.129834233682938
35,High Evolutionary / He,Black Panther / T'chal,3.5844344480298873
36,Maximus [inhuman],Black Panther / T'chal,2.0132293682824023
37,Power Man / Erik Joste,Black Panther / T'chal,3.411822208098885
38,Lockjaw [inhuman],Black Panther / T'chal,3.3611500784262014
39,"Cushing, Kate",Black Panther / T'chal,2.8301887714389307
40,Uatu,Black Panther / T'chal,5.559802234200904
41,"Katzenberg, Nick",Black Panther / T'chal,4.002499345168736
42,"Osborn, Harry",Black Panther / T'chal,3.1116807997664884
43,Green Goblin / Norman,Black Panther / T'chal,2.5298126022128256
